@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
'no checking',9.0,'critical/other existing credit',radio/tv,3074.0,?,1<=X<4,1.0,'male single',none,2.0,'real estate',33.0,none,own,2.0,skilled,2.0,none,yes,good
'no checking',36.0,'existing paid',radio/tv,3835.0,?,>=7,2.0,'female div/dep/mar',none,4.0,'real estate',45.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
'no checking',36.0,'critical/other existing credit',radio/tv,3342.0,?,>=7,4.0,'male single',none,2.0,car,51.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,6.0,'critical/other existing credit',retraining,932.0,?,4<=X<7,1.0,'female div/dep/mar',none,3.0,'life insurance',39.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
<0,18.0,'no credits/all paid',business,3104.0,92,4<=X<7,3.0,'male single',none,1.0,'life insurance',31.0,bank,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'existing paid',furniture/equipment,3021.0,95,1<=X<4,2.0,'male div/sep',none,2.0,'real estate',24.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
'no checking',10.0,'existing paid','new car',1364.0,43,1<=X<4,2.0,'female div/dep/mar',none,4.0,car,64.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'existing paid',radio/tv,625.0,41,<1,4.0,'male mar/wid',guarantor,1.0,'real estate',26.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
<0,12.0,'existing paid',education,1200.0,?,1<=X<4,4.0,'female div/dep/mar',none,4.0,'life insurance',23.0,bank,rent,1.0,skilled,1.0,yes,yes,good
'no checking',12.0,'existing paid',radio/tv,707.0,2,1<=X<4,4.0,'male single',none,2.0,'real estate',30.0,bank,own,2.0,skilled,1.0,none,yes,good
'no checking',24.0,'delayed previously',business,2978.0,?,1<=X<4,4.0,'male single',none,4.0,'real estate',32.0,none,own,2.0,skilled,2.0,yes,yes,good
'no checking',15.0,'existing paid','used car',4657.0,2,1<=X<4,3.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',36.0,'no credits/all paid',repairs,2613.0,33,1<=X<4,4.0,'male single',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid',furniture/equipment,7865.0,98,>=7,4.0,'male single',none,4.0,'no known property',53.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',12.0,'existing paid',radio/tv,2141.0,287,4<=X<7,3.0,'male single',none,1.0,'no known property',35.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid',radio/tv,866.0,96,1<=X<4,4.0,'male mar/wid',guarantor,2.0,'real estate',25.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,21.0,'existing paid',business,2767.0,361,>=7,4.0,'male div/sep',none,2.0,car,61.0,bank,rent,2.0,'unskilled resident',1.0,none,yes,bad
<0,30.0,'existing paid',radio/tv,2522.0,21,>=7,1.0,'male single',guarantor,3.0,'life insurance',39.0,none,own,1.0,skilled,2.0,none,yes,good
<0,48.0,'no credits/all paid','used car',4605.0,79,>=7,3.0,'male single',none,4.0,'no known property',24.0,none,'for free',2.0,skilled,2.0,none,yes,bad
'no checking',12.0,'critical/other existing credit',business,1185.0,56,1<=X<4,3.0,'female div/dep/mar',none,2.0,'real estate',27.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',12.0,'all paid',retraining,3447.0,897,1<=X<4,4.0,'female div/dep/mar',none,3.0,'real estate',35.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
>=200,24.0,'existing paid',furniture/equipment,1925.0,31,1<=X<4,2.0,'male single',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',18.0,'existing paid',radio/tv,433.0,19,unemployed,3.0,'female div/dep/mar','co applicant',4.0,'real estate',22.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,6.0,'critical/other existing credit','new car',666.0,1031.2482411,4<=X<7,3.0,'female div/dep/mar',none,4.0,'real estate',39.0,none,own,2.0,'unskilled resident',1.0,yes,yes,good
>=200,12.0,'existing paid',furniture/equipment,2251.0,74,1<=X<4,1.0,'female div/dep/mar',none,2.0,car,46.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,60.0,'delayed previously',radio/tv,7418.0,?,1<=X<4,1.0,'male single',none,1.0,'real estate',27.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'critical/other existing credit',radio/tv,2684.0,68,1<=X<4,4.0,'male single',none,2.0,'real estate',35.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
<0,12.0,'all paid',radio/tv,2149.0,66,1<=X<4,4.0,'male div/sep',none,1.0,'no known property',29.0,none,'for free',1.0,skilled,1.0,none,yes,bad
'no checking',15.0,'existing paid','used car',3812.0,378,<1,1.0,'female div/dep/mar',none,4.0,car,23.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',education,2748.0,55,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',57.0,bank,'for free',3.0,'unskilled resident',1.0,none,yes,good
'no checking',36.0,'critical/other existing credit',business,6304.0,?,>=7,4.0,'male single',none,4.0,'real estate',36.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid',radio/tv,1533.0,55,<1,4.0,'female div/dep/mar',none,3.0,car,38.0,stores,own,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,999.0,?,>=7,4.0,'male single',none,2.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'existing paid','new car',2662.0,?,4<=X<7,4.0,'male single',none,3.0,'life insurance',32.0,none,own,1.0,skilled,1.0,none,no,good
'no checking',12.0,'critical/other existing credit',furniture/equipment,1402.0,513,4<=X<7,3.0,'female div/dep/mar',none,4.0,car,37.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,48.0,'all paid','new car',12169.0,?,unemployed,4.0,'male single','co applicant',4.0,'no known property',36.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',9.0,'existing paid',radio/tv,2697.0,72,1<=X<4,1.0,'male single',none,2.0,'real estate',32.0,none,own,1.0,skilled,2.0,none,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,2404.0,36,1<=X<4,2.0,'female div/dep/mar',none,2.0,car,26.0,none,own,2.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid',furniture/equipment,1262.0,?,>=7,2.0,'male div/sep',none,4.0,'life insurance',49.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,1901.0,121,1<=X<4,4.0,'male single',none,4.0,car,29.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',15.0,'critical/other existing credit','used car',3368.0,1076.13995002,>=7,3.0,'male single',none,4.0,'no known property',23.0,none,rent,2.0,skilled,1.0,yes,yes,good
'no checking',12.0,'existing paid',furniture/equipment,1574.0,90,1<=X<4,4.0,'male single',none,2.0,'real estate',50.0,none,own,1.0,skilled,1.0,none,yes,good
>=200,18.0,'all paid',radio/tv,1445.0,?,4<=X<7,4.0,'male single',none,4.0,car,49.0,bank,own,1.0,'unskilled resident',1.0,none,yes,good
<0,47.0,'existing paid','new car',10722.0,64,<1,1.0,'female div/dep/mar',none,1.0,'real estate',35.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
0<=X<200,12.0,'existing paid',radio/tv,1092.0,63,1<=X<4,4.0,'female div/dep/mar',guarantor,4.0,'real estate',49.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',12.0,'existing paid',business,1076.0,39,1<=X<4,2.0,'male mar/wid',none,2.0,'real estate',26.0,none,own,1.0,skilled,1.0,yes,no,good
0<=X<200,36.0,'existing paid','used car',9398.0,33,<1,1.0,'male mar/wid',none,4.0,car,28.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,24.0,'critical/other existing credit','used car',6419.0,96,>=7,2.0,'female div/dep/mar',none,4.0,'no known property',44.0,none,'for free',2.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
0<=X<200,48.0,'existing paid',furniture/equipment,9960.0,80,<1,1.0,'female div/dep/mar',none,2.0,car,26.0,none,own,1.0,skilled,1.0,yes,yes,bad
'no checking',10.0,'existing paid','new car',1287.0,?,>=7,4.0,'male single','co applicant',2.0,'life insurance',45.0,none,own,1.0,'unskilled resident',1.0,none,no,good
'no checking',18.0,'existing paid',furniture/equipment,2515.0,64,1<=X<4,3.0,'male single',none,4.0,'real estate',43.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,36.0,'no credits/all paid',radio/tv,3804.0,35,1<=X<4,4.0,'female div/dep/mar',none,1.0,car,42.0,none,own,1.0,skilled,1.0,yes,yes,bad
>=200,24.0,'critical/other existing credit','new car',1344.0,?,4<=X<7,4.0,'male single',none,2.0,'real estate',37.0,bank,own,2.0,'unskilled resident',2.0,none,yes,bad
<0,10.0,'critical/other existing credit','new car',1038.0,80,4<=X<7,4.0,'male single','co applicant',3.0,'life insurance',49.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',6.0,'existing paid',furniture/equipment,1543.0,1073.96759545,1<=X<4,4.0,'male div/sep',none,2.0,'real estate',33.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',30.0,'existing paid','used car',4811.0,?,4<=X<7,2.0,'female div/dep/mar',none,4.0,'life insurance',24.0,stores,rent,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,8.0,'existing paid',furniture/equipment,1237.0,7,1<=X<4,3.0,'female div/dep/mar',none,4.0,'real estate',24.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,9.0,'existing paid','new car',276.0,66,1<=X<4,4.0,'male mar/wid',none,4.0,'real estate',22.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,48.0,'existing paid',other,5381.0,?,unemployed,3.0,'male single',none,4.0,'no known property',40.0,bank,'for free',1.0,'unemp/unskilled non res',1.0,yes,yes,good
'no checking',24.0,'existing paid',furniture/equipment,5511.0,205,1<=X<4,4.0,'male single',none,1.0,car,25.0,stores,own,1.0,skilled,1.0,none,yes,good
>=200,24.0,'existing paid',furniture/equipment,3749.0,72,<1,2.0,'female div/dep/mar',none,4.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'existing paid','new car',685.0,42,4<=X<7,2.0,'male mar/wid',none,3.0,car,25.0,bank,own,1.0,'unskilled resident',1.0,none,yes,bad
>=200,4.0,'existing paid','new car',1494.0,?,<1,1.0,'male single',none,2.0,'real estate',29.0,none,own,1.0,'unskilled resident',2.0,none,no,good
<0,12.0,'existing paid',furniture/equipment,708.0,7,1<=X<4,2.0,'male single',guarantor,3.0,'life insurance',38.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
0<=X<200,24.0,'existing paid',furniture/equipment,4351.0,?,1<=X<4,1.0,'female div/dep/mar',none,4.0,'life insurance',48.0,none,own,1.0,'unskilled resident',1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',education,701.0,94,1<=X<4,4.0,'male single',none,2.0,car,32.0,none,own,2.0,skilled,1.0,none,yes,good
<0,15.0,'delayed previously',furniture/equipment,3643.0,35,>=7,1.0,'female div/dep/mar',none,4.0,'life insurance',27.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
0<=X<200,30.0,'critical/other existing credit','new car',4249.0,75,unemployed,4.0,'male mar/wid',none,2.0,car,28.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
<0,24.0,'existing paid',radio/tv,1938.0,85,<1,4.0,'male div/sep',none,3.0,'life insurance',32.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,24.0,'existing paid','used car',2910.0,16,4<=X<7,2.0,'male single',none,1.0,'no known property',34.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,18.0,'existing paid',furniture/equipment,2659.0,1013.23818482,1<=X<4,4.0,'male single',none,2.0,car,28.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',18.0,'critical/other existing credit','new car',1028.0,99,1<=X<4,4.0,'female div/dep/mar',none,3.0,'real estate',36.0,none,own,2.0,skilled,1.0,none,yes,good
<0,8.0,'critical/other existing credit','new car',3398.0,68,4<=X<7,1.0,'male single',none,4.0,'real estate',39.0,none,own,2.0,'unskilled resident',1.0,none,no,good
'no checking',24.0,'existing paid','new car',1525.0,1043.6677852,4<=X<7,4.0,'female div/dep/mar',none,3.0,car,34.0,none,own,1.0,skilled,2.0,yes,yes,good
>=200,36.0,'existing paid',radio/tv,4473.0,24,>=7,4.0,'male single',none,2.0,car,31.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,6.0,'existing paid',radio/tv,1068.0,81,>=7,4.0,'male single',none,4.0,car,28.0,none,own,1.0,skilled,2.0,none,yes,good
<0,24.0,'critical/other existing credit','used car',6615.0,31,unemployed,2.0,'male single',none,4.0,'no known property',75.0,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,60.0,'existing paid','new car',7408.0,381,<1,4.0,'female div/dep/mar',none,2.0,'life insurance',24.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
<0,24.0,'no credits/all paid',furniture/equipment,4110.0,44,>=7,3.0,'male single',none,4.0,'no known property',23.0,bank,rent,2.0,skilled,2.0,none,yes,bad
<0,6.0,'critical/other existing credit',furniture/equipment,3384.0,59,1<=X<4,1.0,'male div/sep',none,4.0,'real estate',44.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
0<=X<200,13.0,'existing paid',radio/tv,2101.0,30,<1,2.0,'female div/dep/mar',guarantor,4.0,'life insurance',23.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
<0,24.0,'existing paid',furniture/equipment,4169.0,90,1<=X<4,4.0,'male single',none,4.0,'life insurance',28.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,10.0,'existing paid',furniture/equipment,1521.0,45,1<=X<4,4.0,'male div/sep',none,2.0,car,31.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit',education,5743.0,12,<1,2.0,'female div/dep/mar',none,4.0,'no known property',24.0,none,'for free',2.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'existing paid',radio/tv,3213.0,954,<1,1.0,'male mar/wid',none,3.0,'real estate',25.0,none,rent,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'existing paid',business,4439.0,88,>=7,1.0,'male single','co applicant',1.0,'real estate',33.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
>=200,10.0,'existing paid','new car',3949.0,1,<1,1.0,'male single',guarantor,1.0,'life insurance',37.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
'no checking',15.0,'critical/other existing credit',radio/tv,1459.0,96,1<=X<4,4.0,'female div/dep/mar',none,2.0,car,43.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,9.0,'critical/other existing credit',education,1136.0,1034.66697246,>=7,4.0,'male single',none,3.0,'no known property',32.0,none,'for free',2.0,skilled,2.0,none,yes,bad
'no checking',9.0,'existing paid','domestic appliance',1236.0,52,<1,1.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,9.0,'existing paid',furniture/equipment,959.0,44,1<=X<4,1.0,'female div/dep/mar',none,2.0,car,29.0,none,own,1.0,skilled,1.0,none,no,bad
'no checking',18.0,'critical/other existing credit','used car',3229.0,?,unemployed,2.0,'male single',none,4.0,'no known property',38.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,12.0,'no credits/all paid',radio/tv,6199.0,63,1<=X<4,4.0,'male single',none,2.0,'life insurance',28.0,none,rent,2.0,skilled,1.0,yes,yes,bad
'no checking',10.0,'existing paid',education,727.0,515,>=7,4.0,'male single',none,4.0,'no known property',46.0,none,'for free',1.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',radio/tv,2331.0,?,>=7,1.0,'male single','co applicant',4.0,'real estate',49.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',36.0,'delayed previously',radio/tv,4463.0,85,1<=X<4,4.0,'male single',none,2.0,car,26.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',12.0,'existing paid',radio/tv,776.0,96,1<=X<4,4.0,'male mar/wid',none,2.0,'real estate',28.0,none,own,1.0,skilled,1.0,none,yes,good
<0,30.0,'existing paid',furniture/equipment,2406.0,25,4<=X<7,4.0,'female div/dep/mar',none,4.0,'real estate',23.0,none,rent,1.0,skilled,1.0,none,yes,bad
>=200,12.0,'existing paid',radio/tv,3399.0,?,>=7,2.0,'male single',none,3.0,car,37.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good
>=200,12.0,'delayed previously','new car',2247.0,61,1<=X<4,2.0,'female div/dep/mar',none,2.0,car,36.0,stores,own,2.0,skilled,1.0,yes,yes,good
'no checking',6.0,'existing paid',furniture/equipment,1766.0,26,1<=X<4,1.0,'male mar/wid',none,2.0,'life insurance',21.0,none,rent,1.0,skilled,1.0,none,yes,good
'no checking',12.0,'existing paid',business,1542.0,8,4<=X<7,2.0,'male single',none,4.0,car,36.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',18.0,'critical/other existing credit','used car',3850.0,66,4<=X<7,3.0,'male single',none,1.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
<0,18.0,'existing paid',furniture/equipment,3650.0,31,<1,1.0,'female div/dep/mar',none,4.0,car,22.0,none,rent,1.0,skilled,1.0,none,yes,good
<0,36.0,'existing paid',furniture/equipment,3446.0,51,>=7,4.0,'male single',none,2.0,car,42.0,none,own,1.0,skilled,2.0,none,yes,bad
0<=X<200,18.0,'existing paid',furniture/equipment,3001.0,48,4<=X<7,2.0,'female div/dep/mar',none,4.0,'real estate',40.0,none,rent,1.0,skilled,1.0,none,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,6070.0,91,>=7,3.0,'male single',none,4.0,car,33.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',10.0,'critical/other existing credit',furniture/equipment,2146.0,6,<1,1.0,'female div/dep/mar',none,3.0,'real estate',23.0,none,rent,2.0,skilled,1.0,none,yes,good
<0,48.0,'all paid',business,7685.0,93,4<=X<7,2.0,'female div/dep/mar',guarantor,4.0,car,37.0,none,rent,1.0,skilled,1.0,none,yes,bad
'no checking',18.0,'delayed previously',radio/tv,2320.0,89,unemployed,2.0,'male mar/wid',none,3.0,'real estate',34.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',7.0,'delayed previously',radio/tv,846.0,?,>=7,3.0,'male single',none,4.0,'no known property',36.0,none,'for free',1.0,skilled,1.0,none,yes,good
0<=X<200,36.0,'existing paid','new car',14318.0,95,>=7,4.0,'male single',none,2.0,'no known property',57.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',6.0,'critical/other existing credit','new car',362.0,355,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,52.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
<0,20.0,'existing paid',furniture/equipment,2212.0,?,4<=X<7,4.0,'male single',none,4.0,car,39.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',22.0,'existing paid','new car',1283.0,?,4<=X<7,4.0,'female div/dep/mar',none,4.0,'life insurance',25.0,none,rent,1.0,skilled,1.0,none,yes,good
>=200,12.0,'existing paid','new car',1330.0,98,<1,4.0,'male single',none,1.0,'real estate',26.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',30.0,'delayed previously',business,4272.0,329,1<=X<4,2.0,'male single',none,2.0,'life insurance',26.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,2238.0,32,1<=X<4,2.0,'female div/dep/mar',none,1.0,car,25.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'existing paid',radio/tv,1126.0,?,<1,4.0,'female div/dep/mar',none,2.0,'real estate',21.0,none,rent,1.0,skilled,1.0,yes,yes,good
0<=X<200,18.0,'critical/other existing credit',furniture/equipment,7374.0,26,unemployed,4.0,'male single',none,4.0,'life insurance',40.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,15.0,'critical/other existing credit',business,2326.0,561,1<=X<4,2.0,'male single',none,4.0,car,27.0,bank,own,1.0,skilled,1.0,none,yes,good
'no checking',9.0,'existing paid',business,1449.0,42,4<=X<7,3.0,'female div/dep/mar',none,2.0,car,27.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'existing paid','new car',1820.0,41,1<=X<4,2.0,'male mar/wid',none,2.0,'life insurance',30.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,12.0,'existing paid',furniture/equipment,983.0,1021.05653624,<1,1.0,'female div/dep/mar',none,4.0,'real estate',19.0,none,rent,1.0,'unskilled resident',1.0,none,yes,good
<0,36.0,'existing paid','new car',3249.0,92,4<=X<7,2.0,'male single',none,4.0,'no known property',39.0,bank,'for free',1.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
'no checking',9.0,'critical/other existing credit',furniture/equipment,2406.0,60,unemployed,2.0,'male single',none,3.0,car,31.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,none,yes,good
0<=X<200,39.0,'delayed previously',education,11760.0,386,4<=X<7,2.0,'male single',none,3.0,'no known property',32.0,none,rent,1.0,skilled,1.0,yes,yes,good
<0,12.0,'existing paid',furniture/equipment,2578.0,56,unemployed,3.0,'female div/dep/mar',none,4.0,'no known property',55.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,none,yes,good
0<=X<200,12.0,'existing paid','new car',1223.0,29,>=7,1.0,'male div/sep',none,1.0,'real estate',46.0,none,rent,2.0,skilled,1.0,none,yes,bad
'no checking',24.0,'critical/other existing credit',radio/tv,1516.0,1020.9224366,1<=X<4,4.0,'female div/dep/mar',none,1.0,'real estate',43.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',24.0,'delayed previously',business,8648.0,60,<1,2.0,'male single',none,2.0,car,27.0,bank,own,2.0,skilled,1.0,yes,yes,bad
'no checking',14.0,'delayed previously','new car',802.0,87,1<=X<4,4.0,'male single',none,2.0,car,27.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
0<=X<200,18.0,'delayed previously','new car',2899.0,?,>=7,4.0,'male single',none,4.0,car,43.0,none,own,1.0,skilled,2.0,none,yes,good
0<=X<200,24.0,'existing paid',radio/tv,2039.0,32,<1,1.0,'male mar/wid',none,1.0,'life insurance',22.0,none,own,1.0,skilled,1.0,yes,yes,bad
<0,15.0,'existing paid',radio/tv,1053.0,3,<1,4.0,'male mar/wid',none,2.0,'real estate',27.0,none,own,1.0,skilled,1.0,none,no,good
'no checking',24.0,'existing paid',radio/tv,3235.0,508,>=7,3.0,'male div/sep',none,2.0,car,26.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,24.0,'existing paid',radio/tv,1967.0,8,>=7,4.0,'female div/dep/mar',none,4.0,car,20.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',33.0,'critical/other existing credit','used car',7253.0,64,4<=X<7,3.0,'male single',none,2.0,car,35.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',business,2292.0,70,unemployed,4.0,'male single',none,2.0,car,42.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,24.0,'existing paid','new car',1381.0,?,1<=X<4,4.0,'female div/dep/mar',none,2.0,'life insurance',35.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',36.0,'critical/other existing credit','used car',5842.0,40,>=7,2.0,'male single',none,2.0,'life insurance',35.0,none,own,2.0,skilled,2.0,yes,yes,good
<0,12.0,'existing paid','new car',2579.0,15,<1,4.0,'male single',none,1.0,'real estate',33.0,none,own,1.0,'unskilled resident',2.0,none,yes,bad
<0,18.0,'delayed previously',education,8471.0,?,1<=X<4,1.0,'female div/dep/mar',none,2.0,car,23.0,none,rent,2.0,skilled,1.0,yes,yes,good
0<=X<200,12.0,'existing paid','used car',2028.0,?,1<=X<4,4.0,'male single',none,2.0,car,30.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,12.0,'critical/other existing credit','new car',958.0,54,4<=X<7,2.0,'male single',none,3.0,'real estate',47.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
'no checking',21.0,'delayed previously',furniture/equipment,1591.0,212,4<=X<7,4.0,'male single',none,3.0,'real estate',34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,good
0<=X<200,18.0,'existing paid','used car',2779.0,42,1<=X<4,1.0,'male mar/wid',none,3.0,car,21.0,none,rent,1.0,skilled,1.0,yes,yes,good
'no checking',28.0,'critical/other existing credit',radio/tv,2743.0,87,>=7,4.0,'male single',none,2.0,car,29.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,1149.0,1108.53002664,1<=X<4,4.0,'male single',none,3.0,'real estate',46.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',9.0,'existing paid',furniture/equipment,1313.0,63,>=7,1.0,'male single',none,4.0,car,20.0,none,own,1.0,skilled,1.0,none,yes,good
<0,18.0,'critical/other existing credit',repairs,1190.0,93,unemployed,2.0,'female div/dep/mar',none,4.0,'no known property',55.0,none,'for free',3.0,'unemp/unskilled non res',2.0,none,yes,bad
'no checking',5.0,'existing paid',business,3448.0,18,4<=X<7,1.0,'male single',none,4.0,'real estate',74.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,24.0,'existing paid',other,11328.0,26,1<=X<4,2.0,'male single','co applicant',3.0,car,29.0,bank,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,6.0,'critical/other existing credit',furniture/equipment,1872.0,85,unemployed,4.0,'male single',none,4.0,'no known property',36.0,none,'for free',3.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,9.0,'existing paid',furniture/equipment,2136.0,94,1<=X<4,3.0,'male single',none,2.0,'real estate',25.0,none,own,1.0,skilled,1.0,none,yes,good
